time_step,epochs,fine_tune_epochs,alpha,lookback_days,half_life_days,start_date,rmse_val,mae_val
20,10,0,0.4,360,90,2019-01-01,nan,nan
20,10,0,0.4,360,30,2018-01-01,nan,nan
20,10,0,0.4,360,30,2019-01-01,nan,nan
20,10,0,0.4,360,60,2019-01-01,nan,nan
20,10,0,0.4,360,90,2018-01-01,nan,nan
20,10,0,0.4,360,60,2018-01-01,nan,nan
20,10,0,0.4,540,30,2018-01-01,nan,nan
20,10,0,0.4,540,30,2019-01-01,nan,nan
20,10,0,0.4,540,60,2018-01-01,nan,nan
20,10,0,0.4,540,90,2019-01-01,nan,nan
20,10,0,0.4,540,60,2019-01-01,nan,nan
20,10,0,0.4,540,90,2018-01-01,nan,nan
20,10,0,0.4,720,30,2018-01-01,nan,nan
20,10,0,0.4,720,30,2019-01-01,nan,nan
20,10,0,0.4,720,60,2018-01-01,nan,nan
20,10,0,0.4,720,90,2018-01-01,nan,nan
20,10,0,0.4,720,90,2019-01-01,nan,nan
20,10,0,0.4,720,60,2019-01-01,nan,nan
20,10,0,0.5,360,30,2018-01-01,nan,nan
20,10,0,0.5,360,30,2019-01-01,nan,nan
20,10,0,0.5,360,60,2018-01-01,nan,nan
20,10,0,0.5,360,60,2019-01-01,nan,nan
20,10,0,0.5,360,90,2019-01-01,nan,nan
20,10,0,0.5,360,90,2018-01-01,nan,nan
20,10,0,0.5,540,30,2018-01-01,nan,nan
20,10,0,0.5,540,30,2019-01-01,nan,nan
20,10,0,0.5,540,60,2018-01-01,nan,nan
20,10,0,0.5,540,90,2018-01-01,nan,nan
20,10,0,0.5,540,60,2019-01-01,nan,nan
20,10,0,0.5,540,90,2019-01-01,nan,nan
20,10,0,0.5,720,30,2018-01-01,nan,nan
20,10,0,0.5,720,30,2019-01-01,nan,nan
20,10,0,0.5,720,60,2018-01-01,nan,nan
20,10,0,0.5,720,60,2019-01-01,nan,nan
20,10,0,0.5,720,90,2018-01-01,nan,nan
20,10,0,0.5,720,90,2019-01-01,nan,nan
20,10,0,0.6,360,30,2018-01-01,nan,nan
20,10,0,0.6,360,30,2019-01-01,nan,nan
20,10,0,0.6,360,60,2018-01-01,nan,nan
20,10,0,0.6,360,60,2019-01-01,nan,nan
20,10,0,0.6,360,90,2018-01-01,nan,nan
20,10,0,0.6,360,90,2019-01-01,nan,nan
20,10,0,0.6,540,30,2018-01-01,nan,nan
20,10,0,0.6,540,30,2019-01-01,nan,nan
20,10,0,0.6,540,60,2018-01-01,nan,nan
20,10,0,0.6,540,60,2019-01-01,nan,nan
20,10,0,0.6,540,90,2019-01-01,nan,nan
20,10,0,0.6,540,90,2018-01-01,nan,nan
20,10,0,0.6,720,30,2018-01-01,nan,nan
20,10,0,0.6,720,60,2018-01-01,nan,nan
20,10,0,0.6,720,30,2019-01-01,nan,nan
20,10,0,0.6,720,60,2019-01-01,nan,nan
20,10,0,0.7,360,30,2018-01-01,nan,nan
20,10,0,0.6,720,90,2019-01-01,nan,nan
20,10,0,0.6,720,90,2018-01-01,nan,nan
20,10,0,0.7,360,30,2019-01-01,nan,nan
20,10,0,0.7,360,60,2018-01-01,nan,nan
20,10,0,0.7,360,60,2019-01-01,nan,nan
